"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 19 23:40:51 BDT 2023","Mon Jun 19 23:41:03 BDT 2023","11910","","","Registration And Purches Product Automation","","","Home Page",""
"skipped","Sun Jun 11 11:46:36 BDT 2023","Sun Jun 11 11:46:36 BDT 2023","1","","","Ecommerce Site Shopping","","","add to Cart",""
"failed","Tue Jun 13 09:11:13 BDT 2023","Tue Jun 13 09:11:24 BDT 2023","11121","","","","","","Registration For this Site",""
"failed","Sun Jun 11 11:46:12 BDT 2023","Sun Jun 11 11:46:36 BDT 2023","24508","","","Ecommerce Site Shopping","","","Login",""
"passed","Wed Jun 21 15:10:21 BDT 2023","Wed Jun 21 15:11:12 BDT 2023","50859","","","","","","Registration For this Site Shihab",""
"skipped","Sun Jun 11 11:46:11 BDT 2023","Sun Jun 11 11:46:11 BDT 2023","414","","","Ecommerce Site Shopping","","","Logout",""
"skipped","Sun Jun 11 11:46:36 BDT 2023","Sun Jun 11 11:46:36 BDT 2023","1","","","Ecommerce Site Shopping","","","Select Category",""
"failed","Sat Jun 10 13:31:38 BDT 2023","Sat Jun 10 13:32:20 BDT 2023","42539","","","","","","Registration For this Site Shihab",""
"skipped","Sun Jun 11 11:46:36 BDT 2023","Sun Jun 11 11:46:36 BDT 2023","0","","","Ecommerce Site Shopping","","","purches product",""
"failed","Sat Jun 10 10:48:35 BDT 2023","Sat Jun 10 10:48:45 BDT 2023","9550","","","","","","Registration For this Site",""
